EmployeeId,FirstName,MiddleName,LastName,Initials,Sex,Language,PhoneNumber,EmailAddress,LoginName,AddressId,StartDate,EndDate,Currency,SalaryAmount,AccountNumber,BankId,BankName,EmployeePicURL,ManagerId,OrgUnitId
19,Jonathan,,East,,M,E,,jonathan.east@itelo.info,EASTJ,1000000020,1/1/2000,12/31/9999,USD,55427,6655443322,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_12_EastJ.jpg,22,3
22,Anna,,Lerch,,F,E,,anna.lerch@itelo.info,LERCHA,1000000023,1/1/2000,12/31/9999,USD,58768,5566778899,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_5_LerchA.jpg,23,2
23,Clark,,Kent,,M,E,,clark.kent@itelo.info,KENTC,1000000024,1/1/2000,12/31/9999,USD,57000,3344556677,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_18_KentC.jpg,,1
24,Catherine,,Jones,,F,E,,catherine.jones@itelo.info,JONESC,1000000025,1/1/2000,12/31/9999,USD,59000,4455667788,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_12_JonesC.jpg,23,20
25,Peter,,Douglas,,M,E,,peter.douglas@itelo.info,DOUGLASP,1000000026,1/1/2000,12/31/9999,USD,1500000,666777888,510000655,My Bank of Antioch,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_8_DouglasP.jpg,24,20
26,Frank,,Brown,,M,E,,frank.brown@itelo.info,BROWNF,1000000027,1/1/2000,12/31/9999,USD,53021,6677889900,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_17_BrownF.jpg,24,20
27,Barbara,,Ingalls,,F,E,,barbara.ingalls@itelo.info,INGALLSB,1000000028,1/1/2000,12/31/9999,USD,63443,4433221100,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_3_IngallsB.jpg,24,20
29,Mary,,Watson,,F,E,,mary.watson@itelo.info,WATSONM,1000000030,1/1/2000,12/31/9999,USD,64222,43210987,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_13_WatsonM.jpg,23,16
30,Karl,,Kessler,,M,E,,karl.kessler@itelo.info,KESSLERK,1000000031,1/1/2000,12/31/9999,USD,97455,7788990011,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_21_KesslerK.jpg,23,17
31,Nora,,Dwyer,,F,E,,nora.dwyer@itelo.info,DWYERN,1000000032,1/1/2000,12/31/9999,USD,50000,0013M02606,10100,établissement financier de Paris,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_14_DwyerN.jpg,23,18
